rol,jugador1,jugador2,jugador3,jugador4,jugador5
rol1,0/0,21/65,0/0,
rol2,53/32,21/50,49/38,
rol3,3/53,21/59,8/51,
rol4,50/26,50/26,33/31,
rol5,0/29,29/47,5/38,
rol6,3/38,21/47,10/38,
rol7,24/32,44/35,10/36,
rol8,3/29,26/56,5/41,
rol9,3/24,0/9,10/38,
rol10,29/59,3/41,28/59,
rol11,0/18,29/35,5/23,
rol12,32/56,0/24,46/41,
