booster,jugador1,jugador2,jugador3,jugador4,jugador5
booster1,0,0,0,0,0
booster2,0,0,0,0,0
booster3,21,24,0,0,24
booster4,18,35,0,0,15
booster5,0,0,0,0,0
booster6,0,0,0,0,0
booster7,3,3,0,0,0
booster8,0,0,0,0,0
booster9,24,35,0,0,26
booster10,0,0,0,0,0
booster11,18,29,0,0,9
booster12,0,0,0,0,0
booster13,12,0,0,0,12
booster14,0,0,0,0,0
booster15,0,0,0,0,0
booster16,0,0,0,0,0
booster17,29,0,0,0,12
