jugador,equipo,precio,rating,win_rounds,loss_rounds, padding_rounds, elim_rounds
slaxz-,M80,202,96,0,1,0,1
Swisher,M80,203,104,0,1,0,1
s1n,M80,183,91,0,1,0,1
jBa,M80,196,99,0,1,0,1
Lake,M80,203,101,0,1,0,1

gafolo,Sharks,183,89,0,1,0,1
koala,Sharks,205,109,0,1,0,1
maxxkor,Sharks,191,96,0,1,0,1
rdnzao,Sharks,193,100,0,1,0,1
doc,Sharks,202,109,0,1,0,1

JW,EYEBALLERS,183,95,0,1,0,1
KRIMZ,EYEBALLERS,201,115,0,1,0,1
maxster,EYEBALLERS,207,122,0,1,0,1
Ro1f,EYEBALLERS,192,101,0,1,0,1
dex,EYEBALLERS,182,88,0,1,0,1

nEMANHA,Wildcard,196,119,0,1,0,1
mhL,Wildcard,196,114,0,1,0,1
Cxzi,Wildcard,184,96,0,1,0,1
reck,Wildcard,190,106,0,1,0,1
HexT,Wildcard,196,114,0,1,0,1

CRUC1AL,GentleMates,190,99,0,1,0,1
alex,GentleMates,188,104,0,1,0,1
mopoz,GentleMates,194,106,0,1,0,1
sausol,GentleMates,190,96,0,1,0,1
dav1g,GentleMates,182,93,0,1,0,1

beastik,SINNERS,186,91,0,1,0,1
SHOCK,SINNERS,187,99,0,1,0,1
MoDo,SINNERS,196,98,0,1,0,1
kisserek,SINNERS,189,92,0,1,0,1
stressarN,SINNERS,192,91,0,1,0,1

cadiaN,OG,178,87,0,1,0,1
bodyy,OG,176,100,0,1,0,1
spooke,OG,195,104,0,1,0,1
adamb,OG,201,130,0,1,0,1
pr1metapz,OG,181,76,0,1,0,1

KaiR0N-,Nemiga,181,108,0,1,0,1
sowalio,Nemiga,182,115,0,1,0,1
robo,Nemiga,178,96,0,1,0,1
khaN,Nemiga,184,106,0,1,0,1
syph0,Nemiga,196,119,0,1,0,1

TMB,Phantom,192,0,0,2,0,4
nicoodoz,Phantom,175,0,0,2,0,4
KEi,Phantom,180,0,0,2,0,4
Kylar,Phantom,188,0,0,2,0,4
cej0t,Phantom,173,0,0,2,0,4

alex666,B8,209,95,3,0,0,0
npl,B8,225,107,3,0,0,0
kensizor,B8,216,100,3,0,0,0
esenthial,B8,213,93,3,0,0,0
s1zzi,B8,215,103,3,0,0,0

cptkurtka023,InnerCircle,199,102,1,1,0,1
headtr1ck,InnerCircle,204,109,1,1,0,1
zerRRoFIX,InnerCircle,194,102,1,1,0,1
onic,InnerCircle,189,102,1,1,0,1
Dawy,InnerCircle,212,111,1,1,0,1

mir,Virtus.pro,190,0,0,1,0,2
b1st,Virtus.pro,200,0,0,1,0,2
F0R3VER,Virtus.pro,183,0,0,1,0,2
AquaRS,Virtus.pro,184,0,0,1,0,2
tO0R0,Virtus.pro,185,0,0,1,0,2

Keoz,GenOne,185,0,0,1,0,2
Djoko,GenOne,188,0,0,1,0,2
Brooxsy,GenOne,189,0,0,1,0,2
Chucky,GenOne,202,0,0,1,0,2
bL4SEZ,GenOne,184,0,0,1,0,2

n1Xen,EAC,189,0,0,1,0,2
anber,EAC,184,0,0,1,0,2
sSen,EAC,180,0,0,1,0,2
bekker,EAC,182,0,0,1,0,2
